date,county,cholera_cases
2016-05-22,Mombasa,22
2016-05-23,Mombasa,20
2016-05-24,Mombasa,6
2016-05-25,Mombasa,1
2016-05-26,Mombasa,0
2016-05-27,Mombasa,1
2016-05-28,Mombasa,17
2016-05-29,Mombasa,14
2016-05-30,Mombasa,19
2016-05-31,Mombasa,18
2016-06-01,Mombasa,0
2016-06-02,Mombasa,2
2016-06-03,Mombasa,0
2016-06-04,Mombasa,1
2016-06-05,Mombasa,2
2016-06-06,Mombasa,0
2016-06-07,Mombasa,2
2016-06-08,Mombasa,0
2016-06-09,Mombasa,2
2016-06-10,Mombasa,0
2016-06-11,Mombasa,1
2016-06-12,Mombasa,2
2016-06-13,Mombasa,2
2016-06-14,Mombasa,2
2016-06-15,Mombasa,2
2016-06-16,Mombasa,1
2016-06-17,Mombasa,0
2016-06-18,Mombasa,0
2016-06-19,Mombasa,1
2016-06-20,Mombasa,0
2016-06-21,Mombasa,2
2016-06-22,Mombasa,2
2016-06-23,Mombasa,0
2016-06-24,Mombasa,2
2016-06-25,Mombasa,0
2016-06-26,Mombasa,1
2016-06-27,Mombasa,0
2016-06-28,Mombasa,2
2016-06-29,Mombasa,2
2016-06-30,Mombasa,2
2016-07-01,Mombasa,0
2016-07-02,Mombasa,2
2016-07-03,Mombasa,1
2016-07-04,Mombasa,0
2016-07-05,Mombasa,0
2016-07-06,Mombasa,1
2016-07-07,Mombasa,0
2016-07-08,Mombasa,1
2016-07-09,Mombasa,1
2016-07-10,Mombasa,2
2016-07-11,Mombasa,2
2016-07-12,Mombasa,1
2016-07-13,Mombasa,1
2016-07-14,Mombasa,1
2016-07-15,Mombasa,1
2016-07-16,Mombasa,2
2016-07-17,Mombasa,0
2016-07-18,Mombasa,1
2016-07-19,Mombasa,0
2016-07-20,Mombasa,2
2016-07-21,Mombasa,1
2016-07-22,Mombasa,1
2016-07-23,Mombasa,2
2016-07-24,Mombasa,0
2016-07-25,Mombasa,1
2016-07-26,Mombasa,0
2016-07-27,Mombasa,2
2016-07-28,Mombasa,1
2016-07-29,Mombasa,0
2016-07-30,Mombasa,1
2016-07-31,Mombasa,2
2016-08-01,Mombasa,1
2016-08-02,Mombasa,0
2016-08-03,Mombasa,0
2016-08-04,Mombasa,2
2016-08-05,Mombasa,1
2016-08-06,Mombasa,1
2016-08-07,Mombasa,1
2016-08-08,Mombasa,1
2016-08-09,Mombasa,1
2016-08-10,Mombasa,2
2016-08-11,Mombasa,1
2016-08-12,Mombasa,2
2016-08-13,Mombasa,2
2016-08-14,Mombasa,0
2016-08-15,Mombasa,0
2016-08-16,Mombasa,1
2016-08-17,Mombasa,0
2016-08-18,Mombasa,2
2016-08-19,Mombasa,2
2016-08-20,Mombasa,1
2016-08-21,Mombasa,0
2016-08-22,Mombasa,1
2016-08-23,Mombasa,2
2016-08-24,Mombasa,1
2016-08-25,Mombasa,0
2016-08-26,Mombasa,0
2016-08-27,Mombasa,1
2016-08-28,Mombasa,0
2016-08-29,Mombasa,2
2016-08-30,Mombasa,2
2016-08-31,Mombasa,1
2016-09-01,Mombasa,1
2016-09-02,Mombasa,0
2016-09-03,Mombasa,2
2016-09-04,Mombasa,2
2016-09-05,Mombasa,2
2016-09-06,Mombasa,1
2016-09-07,Mombasa,1
2016-09-08,Mombasa,1
2016-09-09,Mombasa,1
2016-09-10,Mombasa,2
2016-09-11,Mombasa,1
2016-09-12,Mombasa,1
2016-09-13,Mombasa,2
2016-09-14,Mombasa,0
2016-09-15,Mombasa,0
2016-09-16,Mombasa,2
2016-09-17,Mombasa,2
2016-09-18,Mombasa,0
2016-09-19,Mombasa,2
2016-09-20,Mombasa,2
2016-09-21,Mombasa,2
2016-09-22,Mombasa,2
2016-09-23,Mombasa,2
2016-09-24,Mombasa,2
2016-09-25,Mombasa,2
2016-09-26,Mombasa,1
2016-09-27,Mombasa,1
2016-09-28,Mombasa,2
2016-09-29,Mombasa,1
2016-09-30,Mombasa,0
2016-10-01,Mombasa,0
2015-01-01,Kwale,0
2015-01-02,Kwale,0
2015-01-03,Kwale,0
2015-01-04,Kwale,2
2015-01-05,Kwale,0
2015-01-06,Kwale,2
2015-01-07,Kwale,2
2015-01-08,Kwale,0
2015-01-09,Kwale,1
2015-01-10,Kwale,2
2015-01-11,Kwale,1
2015-01-12,Kwale,1
2015-01-13,Kwale,2
2015-01-14,Kwale,1
2015-01-15,Kwale,2
2015-01-16,Kwale,2
2015-01-17,Kwale,1
2015-01-18,Kwale,2
2015-01-19,Kwale,2
2015-01-20,Kwale,0
2015-01-21,Kwale,2
2015-01-22,Kwale,1
2015-01-23,Kwale,0
2015-01-24,Kwale,0
2015-01-25,Kwale,1
2015-01-26,Kwale,2
2015-01-27,Kwale,1
2015-01-28,Kwale,0
2015-01-29,Kwale,0
2015-01-30,Kwale,0
2015-01-31,Kwale,1
2015-02-01,Kwale,1
2015-02-02,Kwale,0
2015-02-03,Kwale,0
2015-02-04,Kwale,0
2015-02-05,Kwale,1
2015-02-06,Kwale,2
2015-02-07,Kwale,0
2015-02-08,Kwale,2
2015-02-09,Kwale,0
2015-02-10,Kwale,2
2015-02-11,Kwale,2
2015-02-12,Kwale,2
2015-02-13,Kwale,1
2015-02-14,Kwale,2
2015-02-15,Kwale,0
2015-02-16,Kwale,2
2015-02-17,Kwale,0
2015-02-18,Kwale,0
2015-02-19,Kwale,2
2015-02-20,Kwale,1
2015-02-21,Kwale,1
2015-02-22,Kwale,2
2015-02-23,Kwale,0
2015-02-24,Kwale,0
2015-02-25,Kwale,2
2015-02-26,Kwale,0
2015-02-27,Kwale,2
2015-02-28,Kwale,2
2015-03-01,Kwale,16
2015-03-02,Kwale,17
2015-03-03,Kwale,2
2015-03-04,Kwale,9
2015-03-05,Kwale,18
2015-03-06,Kwale,17
2015-03-07,Kwale,1
2015-03-08,Kwale,1
2015-03-09,Kwale,1
2015-03-10,Kwale,20
2015-03-11,Kwale,21
2015-03-12,Kwale,0
2015-03-13,Kwale,0
2015-03-14,Kwale,16
2015-03-15,Kwale,14
2015-03-16,Kwale,1
2015-03-17,Kwale,18
2015-03-18,Kwale,12
2015-03-19,Kwale,24
2015-03-20,Kwale,13
2015-03-21,Kwale,0
2015-03-22,Kwale,2
2015-03-23,Kwale,0
2015-03-24,Kwale,15
2015-03-25,Kwale,2
2015-03-26,Kwale,16
2015-03-27,Kwale,1
2015-03-28,Kwale,18
2015-03-29,Kwale,1
2015-03-30,Kwale,3
2015-03-31,Kwale,2
2015-04-01,Kwale,2
2015-04-02,Kwale,1
2015-04-03,Kwale,1
2015-04-04,Kwale,0
2015-04-05,Kwale,1
2015-04-06,Kwale,2
2015-04-07,Kwale,1
2015-04-08,Kwale,0
2015-04-09,Kwale,17
2015-04-10,Kwale,0
2015-04-11,Kwale,24
2015-04-12,Kwale,19
2015-04-13,Kwale,16
2015-04-14,Kwale,0
2015-04-15,Kwale,22
2015-04-16,Kwale,1
2015-04-17,Kwale,12
2015-04-18,Kwale,0
2015-04-19,Kwale,11
2015-04-20,Kwale,1
2015-04-21,Kwale,7
2015-04-22,Kwale,15
2015-04-23,Kwale,18
2015-04-24,Kwale,1
2015-04-25,Kwale,12
2015-04-26,Kwale,0
2015-04-27,Kwale,17
2015-04-28,Kwale,7
2015-04-29,Kwale,1
2015-04-30,Kwale,2
2015-05-01,Kwale,11
2015-05-02,Kwale,28
2015-05-03,Kwale,16
2015-05-04,Kwale,2
2015-05-05,Kwale,18
2015-05-06,Kwale,0
2015-05-07,Kwale,0
2015-05-08,Kwale,2
2015-05-09,Kwale,2
2015-05-10,Kwale,17
2015-05-11,Kwale,2
2015-05-12,Kwale,2
2015-05-13,Kwale,5
2015-05-14,Kwale,0
2015-05-15,Kwale,4
2015-05-16,Kwale,7
2015-05-17,Kwale,2
2015-05-18,Kwale,0
2015-05-19,Kwale,1
2015-05-20,Kwale,20
2015-05-21,Kwale,1
2015-05-22,Kwale,1
2015-05-23,Kwale,9
2015-05-24,Kwale,13
2015-05-25,Kwale,0
2015-05-26,Kwale,15
2015-05-27,Kwale,9
2015-05-28,Kwale,0
2015-05-29,Kwale,1
2015-05-30,Kwale,1
2015-05-31,Kwale,9
2015-06-01,Kwale,2
2015-06-02,Kwale,0
2015-06-03,Kwale,1
2015-06-04,Kwale,1
2015-06-05,Kwale,1
2015-06-06,Kwale,2
2015-06-07,Kwale,0
2015-06-08,Kwale,2
2015-06-09,Kwale,0
2015-06-10,Kwale,0
2015-06-11,Kwale,1
2015-06-12,Kwale,1
2015-06-13,Kwale,2
2015-06-14,Kwale,0
2015-06-15,Kwale,0
2015-06-16,Kwale,1
2015-06-17,Kwale,0
2015-06-18,Kwale,2
2015-06-19,Kwale,0
2015-06-20,Kwale,1
2015-06-21,Kwale,2
2015-06-22,Kwale,0
2015-06-23,Kwale,0
2015-06-24,Kwale,0
2015-06-25,Kwale,0
2015-06-26,Kwale,0
2015-06-27,Kwale,2
2015-06-28,Kwale,0
2015-06-29,Kwale,0
2015-06-30,Kwale,0
2015-07-01,Kwale,1
2015-07-02,Kwale,0
2015-07-03,Kwale,0
2015-07-04,Kwale,1
2015-07-05,Kwale,0
2015-07-06,Kwale,2
2015-07-07,Kwale,2
2015-07-08,Kwale,1
2015-07-09,Kwale,2
2015-07-10,Kwale,1
2015-07-11,Kwale,2
2015-07-12,Kwale,0
2015-07-13,Kwale,1
2015-07-14,Kwale,1
2015-07-15,Kwale,0
2015-07-16,Kwale,0
2015-07-17,Kwale,0
2015-07-18,Kwale,1
2015-07-19,Kwale,1
2015-07-20,Kwale,2
2015-07-21,Kwale,2
2015-07-22,Kwale,1
2015-07-23,Kwale,0
2015-07-24,Kwale,1
2015-07-25,Kwale,0
2015-07-26,Kwale,1
2015-07-27,Kwale,1
2015-07-28,Kwale,0
2015-07-29,Kwale,0
2015-07-30,Kwale,0
2015-07-31,Kwale,1
2015-08-01,Kwale,0
2015-08-02,Kwale,2
2015-08-03,Kwale,1
2015-08-04,Kwale,1
2015-08-05,Kwale,2
2015-08-06,Kwale,0
2015-08-07,Kwale,0
2015-08-08,Kwale,1
2015-08-09,Kwale,2
2015-08-10,Kwale,0
2015-08-11,Kwale,1
2015-08-12,Kwale,1
2015-08-13,Kwale,0
2015-08-14,Kwale,1
2015-08-15,Kwale,1
2015-08-16,Kwale,0
2015-08-17,Kwale,0
2015-08-18,Kwale,0
2015-08-19,Kwale,1
2015-08-20,Kwale,0
2015-08-21,Kwale,0
2015-08-22,Kwale,1
2015-08-23,Kwale,0
2015-08-24,Kwale,2
2015-08-25,Kwale,0
2015-08-26,Kwale,1
2015-08-27,Kwale,2
2015-08-28,Kwale,0
2015-08-29,Kwale,0
2015-08-30,Kwale,0
2015-08-31,Kwale,1
2015-09-01,Kwale,2
2015-09-02,Kwale,2
2015-09-03,Kwale,2
2015-09-04,Kwale,0
2015-09-05,Kwale,1
2015-09-06,Kwale,1
2015-09-07,Kwale,2
2015-09-08,Kwale,2
2015-09-09,Kwale,2
2015-09-10,Kwale,2
2015-09-11,Kwale,0
2015-09-12,Kwale,2
2015-09-13,Kwale,2
2015-09-14,Kwale,0
2015-09-15,Kwale,0
2015-09-16,Kwale,2
2015-09-17,Kwale,1
2015-09-18,Kwale,1
2015-09-19,Kwale,1
2015-09-20,Kwale,0
2015-09-21,Kwale,0
2015-09-22,Kwale,1
2015-09-23,Kwale,0
2015-09-24,Kwale,0
2015-09-25,Kwale,1
2015-09-26,Kwale,2
2015-09-27,Kwale,0
2015-09-28,Kwale,0
2015-09-29,Kwale,0
2015-09-30,Kwale,2
2015-10-01,Kwale,0
2015-10-02,Kwale,1
2015-10-03,Kwale,10
2015-10-04,Kwale,1
2015-10-05,Kwale,1
2015-10-06,Kwale,1
2015-10-07,Kwale,0
2015-10-08,Kwale,1
2015-10-09,Kwale,1
2015-10-10,Kwale,1
2015-10-11,Kwale,1
2015-10-12,Kwale,1
2015-10-13,Kwale,1
2015-10-14,Kwale,16
2015-10-15,Kwale,1
2015-10-16,Kwale,1
2015-10-17,Kwale,2
2015-10-18,Kwale,1
2015-10-19,Kwale,0
2015-10-20,Kwale,0
2015-10-21,Kwale,2
2015-10-22,Kwale,0
2015-10-23,Kwale,2
2015-10-24,Kwale,1
2015-10-25,Kwale,2
2015-10-26,Kwale,2
2015-10-27,Kwale,1
2015-10-28,Kwale,0
2015-10-29,Kwale,1
2015-10-30,Kwale,0
2015-10-31,Kwale,1
2015-11-01,Kwale,2
2015-11-02,Kwale,12
2015-11-03,Kwale,0
2015-11-04,Kwale,0
2015-11-05,Kwale,0
2015-11-06,Kwale,1
2015-11-07,Kwale,1
2015-11-08,Kwale,0
