date,county,malaria_cases
2015-11-18,Mombasa,43
2015-11-19,Mombasa,31
2015-11-20,Mombasa,29
2015-11-21,Mombasa,35
2015-11-22,Mombasa,42
2015-11-23,Mombasa,46
2015-11-24,Mombasa,37
2015-11-25,Mombasa,30
2015-11-26,Mombasa,38
2015-11-27,Mombasa,20
2015-11-28,Mombasa,39
2015-11-29,Mombasa,30
2015-11-30,Mombasa,32
2015-12-01,Mombasa,18
2015-12-02,Mombasa,51
2015-12-03,Mombasa,26
2015-12-04,Mombasa,23
2015-12-05,Mombasa,29
2015-12-06,Mombasa,53
2015-12-07,Mombasa,39
2015-12-08,Mombasa,20
2015-12-09,Mombasa,26
2015-12-10,Mombasa,21
2015-12-11,Mombasa,14
2015-12-12,Mombasa,44
2015-12-13,Mombasa,10
2015-12-14,Mombasa,40
2015-12-15,Mombasa,21
2015-12-16,Mombasa,26
2015-12-17,Mombasa,25
2015-12-18,Mombasa,39
2015-12-19,Mombasa,40
2015-12-20,Mombasa,29
2015-12-21,Mombasa,45
2015-12-22,Mombasa,26
2015-12-23,Mombasa,33
2015-12-24,Mombasa,20
2015-12-25,Mombasa,38
2015-12-26,Mombasa,22
2015-12-27,Mombasa,22
2015-12-28,Mombasa,30
2015-12-29,Mombasa,11
2015-12-30,Mombasa,26
2015-12-31,Mombasa,21
2016-01-01,Mombasa,40
2016-01-02,Mombasa,7
2016-01-03,Mombasa,27
2016-01-04,Mombasa,2
2016-01-05,Mombasa,36
2016-01-06,Mombasa,35
2016-01-07,Mombasa,18
2016-01-08,Mombasa,31
2016-01-09,Mombasa,32
2016-01-10,Mombasa,36
2016-01-11,Mombasa,28
2016-01-12,Mombasa,43
2016-01-13,Mombasa,33
2016-01-14,Mombasa,25
2016-01-15,Mombasa,32
2016-01-16,Mombasa,43
2016-01-17,Mombasa,12
2016-01-18,Mombasa,44
2016-01-19,Mombasa,41
2016-01-20,Mombasa,34
2016-01-21,Mombasa,19
2016-01-22,Mombasa,29
2016-01-23,Mombasa,50
2016-01-24,Mombasa,24
2016-01-25,Mombasa,12
2016-01-26,Mombasa,38
2016-01-27,Mombasa,11
2016-01-28,Mombasa,16
2016-01-29,Mombasa,27
2016-01-30,Mombasa,27
2016-01-31,Mombasa,28
2016-02-01,Mombasa,24
2016-02-02,Mombasa,37
2016-02-03,Mombasa,38
2016-02-04,Mombasa,28
2016-02-05,Mombasa,26
2016-02-06,Mombasa,35
2016-02-07,Mombasa,12
2016-02-08,Mombasa,27
2016-02-09,Mombasa,34
2016-02-10,Mombasa,39
2016-02-11,Mombasa,29
2016-02-12,Mombasa,39
2016-02-13,Mombasa,24
2016-02-14,Mombasa,40
2016-02-15,Mombasa,32
2016-02-16,Mombasa,26
2016-02-17,Mombasa,22
2016-02-18,Mombasa,51
2016-02-19,Mombasa,40
2016-02-20,Mombasa,18
2016-02-21,Mombasa,25
2016-02-22,Mombasa,36
2016-02-23,Mombasa,23
2016-02-24,Mombasa,22
2016-02-25,Mombasa,19
2016-02-26,Mombasa,47
2016-02-27,Mombasa,22
2016-02-28,Mombasa,32
2016-02-29,Mombasa,37
2016-03-01,Mombasa,27
2016-03-02,Mombasa,36
2016-03-03,Mombasa,35
2016-03-04,Mombasa,39
2016-03-05,Mombasa,32
2016-03-06,Mombasa,17
2016-03-07,Mombasa,28
2016-03-08,Mombasa,43
2016-03-09,Mombasa,33
2016-03-10,Mombasa,36
2016-03-11,Mombasa,46
2016-03-12,Mombasa,12
2016-03-13,Mombasa,45
2016-03-14,Mombasa,16
2016-03-15,Mombasa,19
2016-03-16,Mombasa,26
2016-03-17,Mombasa,23
2016-03-18,Mombasa,51
2016-03-19,Mombasa,43
2016-03-20,Mombasa,37
2016-03-21,Mombasa,23
2016-03-22,Mombasa,20
2016-03-23,Mombasa,52
2016-03-24,Mombasa,16
2016-03-25,Mombasa,37
2016-03-26,Mombasa,34
2016-03-27,Mombasa,49
2016-03-28,Mombasa,33
2016-03-29,Mombasa,50
2016-03-30,Mombasa,40
2016-03-31,Mombasa,44
2016-04-01,Mombasa,34
2016-04-02,Mombasa,39
2016-04-03,Mombasa,29
2016-04-04,Mombasa,43
2016-04-05,Mombasa,29
2016-04-06,Mombasa,42
2016-04-07,Mombasa,22
2016-04-08,Mombasa,43
2016-04-09,Mombasa,46
2016-04-10,Mombasa,47
2016-04-11,Mombasa,60
2016-04-12,Mombasa,46
2016-04-13,Mombasa,40
2016-04-14,Mombasa,46
2016-04-15,Mombasa,51
2016-04-16,Mombasa,33
2016-04-17,Mombasa,17
2016-04-18,Mombasa,37
2016-04-19,Mombasa,49
2016-04-20,Mombasa,42
2016-04-21,Mombasa,48
2016-04-22,Mombasa,33
2016-04-23,Mombasa,54
2016-04-24,Mombasa,38
2016-04-25,Mombasa,50
2016-04-26,Mombasa,50
2016-04-27,Mombasa,39
2016-04-28,Mombasa,45
2016-04-29,Mombasa,31
2016-04-30,Mombasa,50
2016-05-01,Mombasa,31
2016-05-02,Mombasa,50
2016-05-03,Mombasa,40
2016-05-04,Mombasa,36
2016-05-05,Mombasa,31
2016-05-06,Mombasa,26
2016-05-07,Mombasa,37
2016-05-08,Mombasa,47
2016-05-09,Mombasa,31
2016-05-10,Mombasa,36
2016-05-11,Mombasa,46
2016-05-12,Mombasa,15
2016-05-13,Mombasa,33
2016-05-14,Mombasa,36
2016-05-15,Mombasa,30
2016-05-16,Mombasa,24
2016-05-17,Mombasa,26
2016-05-18,Mombasa,36
2016-05-19,Mombasa,47
2016-05-20,Mombasa,25
2016-05-21,Mombasa,39
2016-05-22,Mombasa,27
2016-05-23,Mombasa,47
2016-05-24,Mombasa,22
2016-05-25,Mombasa,16
2016-05-26,Mombasa,51
2016-05-27,Mombasa,40
2016-05-28,Mombasa,32
2016-05-29,Mombasa,19
2016-05-30,Mombasa,56
2016-05-31,Mombasa,39
2016-06-01,Mombasa,22
2016-06-02,Mombasa,23
2016-06-03,Mombasa,44
2016-06-04,Mombasa,17
2016-06-05,Mombasa,42
2016-06-06,Mombasa,8
2016-06-07,Mombasa,26
2016-06-08,Mombasa,50
2016-06-09,Mombasa,26
2016-06-10,Mombasa,38
2016-06-11,Mombasa,41
2016-06-12,Mombasa,34
2016-06-13,Mombasa,24
2016-06-14,Mombasa,14
2016-06-15,Mombasa,20
2016-06-16,Mombasa,22
2016-06-17,Mombasa,19
2016-06-18,Mombasa,41
2016-06-19,Mombasa,24
2016-06-20,Mombasa,41
2016-06-21,Mombasa,31
2016-06-22,Mombasa,28
2016-06-23,Mombasa,28
2016-06-24,Mombasa,23
2016-06-25,Mombasa,37
2016-06-26,Mombasa,26
2016-06-27,Mombasa,27
2016-06-28,Mombasa,24
2016-06-29,Mombasa,41
2016-06-30,Mombasa,35
2016-07-01,Mombasa,33
2016-07-02,Mombasa,14
2016-07-03,Mombasa,32
2016-07-04,Mombasa,48
2016-07-05,Mombasa,19
2016-07-06,Mombasa,28
2016-07-07,Mombasa,19
2016-07-08,Mombasa,37
2016-07-09,Mombasa,29
2016-07-10,Mombasa,40
2016-07-11,Mombasa,27
2016-07-12,Mombasa,38
2016-07-13,Mombasa,38
2016-07-14,Mombasa,43
2016-07-15,Mombasa,34
2016-07-16,Mombasa,30
2016-07-17,Mombasa,26
2016-07-18,Mombasa,21
2016-07-19,Mombasa,37
2016-07-20,Mombasa,23
2016-07-21,Mombasa,37
2016-07-22,Mombasa,43
2016-07-23,Mombasa,46
2016-07-24,Mombasa,29
2016-07-25,Mombasa,23
2016-07-26,Mombasa,40
2016-07-27,Mombasa,27
2016-07-28,Mombasa,41
2016-07-29,Mombasa,21
2016-07-30,Mombasa,40
2016-07-31,Mombasa,20
2016-08-01,Mombasa,33
2016-08-02,Mombasa,33
2016-08-03,Mombasa,35
2016-08-04,Mombasa,28
2016-08-05,Mombasa,30
2016-08-06,Mombasa,29
2016-08-07,Mombasa,36
2016-08-08,Mombasa,17
2016-08-09,Mombasa,32
2016-08-10,Mombasa,29
2016-08-11,Mombasa,21
2016-08-12,Mombasa,24
2016-08-13,Mombasa,50
2016-08-14,Mombasa,24
2016-08-15,Mombasa,18
2016-08-16,Mombasa,32
2016-08-17,Mombasa,22
2016-08-18,Mombasa,34
2016-08-19,Mombasa,29
2016-08-20,Mombasa,16
2016-08-21,Mombasa,27
2016-08-22,Mombasa,32
2016-08-23,Mombasa,65
2016-08-24,Mombasa,19
2016-08-25,Mombasa,24
2016-08-26,Mombasa,26
2016-08-27,Mombasa,38
2016-08-28,Mombasa,28
2016-08-29,Mombasa,34
2016-08-30,Mombasa,31
2016-08-31,Mombasa,9
2016-09-01,Mombasa,47
2016-09-02,Mombasa,14
2016-09-03,Mombasa,51
2016-09-04,Mombasa,32
2016-09-05,Mombasa,37
2016-09-06,Mombasa,28
2016-09-07,Mombasa,33
2016-09-08,Mombasa,15
2016-09-09,Mombasa,23
2016-09-10,Mombasa,18
2016-09-11,Mombasa,31
2016-09-12,Mombasa,2
2016-09-13,Mombasa,35
2016-09-14,Mombasa,43
2016-09-15,Mombasa,10
2016-09-16,Mombasa,15
2016-09-17,Mombasa,5
2016-09-18,Mombasa,26
2016-09-19,Mombasa,25
2016-09-20,Mombasa,26
2016-09-21,Mombasa,22
2016-09-22,Mombasa,31
2016-09-23,Mombasa,27
2016-09-24,Mombasa,35
2016-09-25,Mombasa,31
2016-09-26,Mombasa,14
2016-09-27,Mombasa,23
2016-09-28,Mombasa,22
2016-09-29,Mombasa,52
2016-09-30,Mombasa,44
2016-10-01,Mombasa,34
2015-01-01,Kwale,35
2015-01-02,Kwale,24
2015-01-03,Kwale,37
2015-01-04,Kwale,15
2015-01-05,Kwale,12
2015-01-06,Kwale,22
2015-01-07,Kwale,50
2015-01-08,Kwale,18
2015-01-09,Kwale,44
2015-01-10,Kwale,28
2015-01-11,Kwale,39
2015-01-12,Kwale,28
2015-01-13,Kwale,16
2015-01-14,Kwale,19
2015-01-15,Kwale,39
2015-01-16,Kwale,22
2015-01-17,Kwale,51
2015-01-18,Kwale,37
2015-01-19,Kwale,26
2015-01-20,Kwale,12
2015-01-21,Kwale,5
2015-01-22,Kwale,33
2015-01-23,Kwale,43
2015-01-24,Kwale,22
2015-01-25,Kwale,40
2015-01-26,Kwale,11
2015-01-27,Kwale,32
2015-01-28,Kwale,39
2015-01-29,Kwale,19
2015-01-30,Kwale,43
2015-01-31,Kwale,42
2015-02-01,Kwale,41
2015-02-02,Kwale,45
2015-02-03,Kwale,36
2015-02-04,Kwale,34
2015-02-05,Kwale,37
2015-02-06,Kwale,24
2015-02-07,Kwale,42
2015-02-08,Kwale,48
2015-02-09,Kwale,41
2015-02-10,Kwale,29
2015-02-11,Kwale,34
2015-02-12,Kwale,46
2015-02-13,Kwale,22
2015-02-14,Kwale,20
2015-02-15,Kwale,27
2015-02-16,Kwale,27
2015-02-17,Kwale,35
2015-02-18,Kwale,25
2015-02-19,Kwale,39
2015-02-20,Kwale,24
2015-02-21,Kwale,43
2015-02-22,Kwale,30
2015-02-23,Kwale,21
2015-02-24,Kwale,19
2015-02-25,Kwale,30
2015-02-26,Kwale,22
2015-02-27,Kwale,42
2015-02-28,Kwale,25
2015-03-01,Kwale,28
2015-03-02,Kwale,28
2015-03-03,Kwale,45
2015-03-04,Kwale,27
2015-03-05,Kwale,35
2015-03-06,Kwale,41
2015-03-07,Kwale,51
2015-03-08,Kwale,36
2015-03-09,Kwale,25
2015-03-10,Kwale,22
2015-03-11,Kwale,36
2015-03-12,Kwale,20
2015-03-13,Kwale,39
2015-03-14,Kwale,36
2015-03-15,Kwale,47
2015-03-16,Kwale,39
2015-03-17,Kwale,56
2015-03-18,Kwale,20
2015-03-19,Kwale,46
2015-03-20,Kwale,40
2015-03-21,Kwale,33
2015-03-22,Kwale,26
2015-03-23,Kwale,23
2015-03-24,Kwale,41
2015-03-25,Kwale,40
2015-03-26,Kwale,48
2015-03-27,Kwale,32
2015-03-28,Kwale,45
2015-03-29,Kwale,31
2015-03-30,Kwale,49
2015-03-31,Kwale,14
2015-04-01,Kwale,14
2015-04-02,Kwale,39
2015-04-03,Kwale,43
2015-04-04,Kwale,41
2015-04-05,Kwale,14
2015-04-06,Kwale,30
2015-04-07,Kwale,9
2015-04-08,Kwale,32
2015-04-09,Kwale,28
2015-04-10,Kwale,29
2015-04-11,Kwale,7
2015-04-12,Kwale,41
2015-04-13,Kwale,35
2015-04-14,Kwale,31
2015-04-15,Kwale,20
2015-04-16,Kwale,32
2015-04-17,Kwale,55
2015-04-18,Kwale,36
2015-04-19,Kwale,43
2015-04-20,Kwale,28
2015-04-21,Kwale,40
2015-04-22,Kwale,48
2015-04-23,Kwale,55
2015-04-24,Kwale,24
2015-04-25,Kwale,38
2015-04-26,Kwale,22
2015-04-27,Kwale,39
2015-04-28,Kwale,34
2015-04-29,Kwale,45
2015-04-30,Kwale,25
2015-05-01,Kwale,46
2015-05-02,Kwale,43
2015-05-03,Kwale,35
2015-05-04,Kwale,36
2015-05-05,Kwale,49
2015-05-06,Kwale,49
2015-05-07,Kwale,25
2015-05-08,Kwale,42
2015-05-09,Kwale,28
2015-05-10,Kwale,46
2015-05-11,Kwale,21
2015-05-12,Kwale,30
2015-05-13,Kwale,39
2015-05-14,Kwale,16
2015-05-15,Kwale,35
2015-05-16,Kwale,42
2015-05-17,Kwale,38
2015-05-18,Kwale,40
2015-05-19,Kwale,22
2015-05-20,Kwale,49
2015-05-21,Kwale,33
2015-05-22,Kwale,30
2015-05-23,Kwale,19
2015-05-24,Kwale,39
2015-05-25,Kwale,35
2015-05-26,Kwale,39
2015-05-27,Kwale,26
2015-05-28,Kwale,22
2015-05-29,Kwale,23
2015-05-30,Kwale,34
2015-05-31,Kwale,38
2015-06-01,Kwale,20
2015-06-02,Kwale,32
2015-06-03,Kwale,24
2015-06-04,Kwale,40
2015-06-05,Kwale,10
2015-06-06,Kwale,46
2015-06-07,Kwale,34
2015-06-08,Kwale,27
2015-06-09,Kwale,44
2015-06-10,Kwale,23
2015-06-11,Kwale,35
2015-06-12,Kwale,27
2015-06-13,Kwale,42
2015-06-14,Kwale,27
2015-06-15,Kwale,27
2015-06-16,Kwale,33
2015-06-17,Kwale,34
2015-06-18,Kwale,37
2015-06-19,Kwale,30
2015-06-20,Kwale,28
2015-06-21,Kwale,28
2015-06-22,Kwale,15
2015-06-23,Kwale,25
2015-06-24,Kwale,23
2015-06-25,Kwale,25
2015-06-26,Kwale,23
2015-06-27,Kwale,36
2015-06-28,Kwale,29
2015-06-29,Kwale,30
2015-06-30,Kwale,48
2015-07-01,Kwale,26
2015-07-02,Kwale,16
2015-07-03,Kwale,38
2015-07-04,Kwale,30
2015-07-05,Kwale,35
2015-07-06,Kwale,31
2015-07-07,Kwale,37
2015-07-08,Kwale,44
2015-07-09,Kwale,43
2015-07-10,Kwale,4
2015-07-11,Kwale,36
2015-07-12,Kwale,40
2015-07-13,Kwale,10
2015-07-14,Kwale,17
2015-07-15,Kwale,23
2015-07-16,Kwale,30
2015-07-17,Kwale,44
2015-07-18,Kwale,24
2015-07-19,Kwale,10
2015-07-20,Kwale,42
2015-07-21,Kwale,33
2015-07-22,Kwale,20
2015-07-23,Kwale,24
2015-07-24,Kwale,24
2015-07-25,Kwale,24
2015-07-26,Kwale,45
2015-07-27,Kwale,26
2015-07-28,Kwale,24
2015-07-29,Kwale,21
2015-07-30,Kwale,44
2015-07-31,Kwale,18
2015-08-01,Kwale,41
2015-08-02,Kwale,39
2015-08-03,Kwale,25
2015-08-04,Kwale,38
2015-08-05,Kwale,19
2015-08-06,Kwale,9
2015-08-07,Kwale,18
2015-08-08,Kwale,43
2015-08-09,Kwale,34
2015-08-10,Kwale,38
2015-08-11,Kwale,29
2015-08-12,Kwale,26
2015-08-13,Kwale,19
2015-08-14,Kwale,41
2015-08-15,Kwale,43
2015-08-16,Kwale,11
2015-08-17,Kwale,37
2015-08-18,Kwale,37
2015-08-19,Kwale,21
2015-08-20,Kwale,28
2015-08-21,Kwale,25
2015-08-22,Kwale,14
2015-08-23,Kwale,38
2015-08-24,Kwale,17
2015-08-25,Kwale,26
2015-08-26,Kwale,28
2015-08-27,Kwale,21
2015-08-28,Kwale,28
2015-08-29,Kwale,25
2015-08-30,Kwale,16
2015-08-31,Kwale,15
2015-09-01,Kwale,39
2015-09-02,Kwale,34
2015-09-03,Kwale,31
2015-09-04,Kwale,31
2015-09-05,Kwale,28
2015-09-06,Kwale,47
2015-09-07,Kwale,21
2015-09-08,Kwale,34
2015-09-09,Kwale,19
2015-09-10,Kwale,27
2015-09-11,Kwale,14
2015-09-12,Kwale,42
2015-09-13,Kwale,11
2015-09-14,Kwale,31
2015-09-15,Kwale,24
2015-09-16,Kwale,24
2015-09-17,Kwale,45
2015-09-18,Kwale,27
2015-09-19,Kwale,38
2015-09-20,Kwale,36
2015-09-21,Kwale,20
2015-09-22,Kwale,23
2015-09-23,Kwale,36
2015-09-24,Kwale,24
2015-09-25,Kwale,9
2015-09-26,Kwale,15
2015-09-27,Kwale,13
2015-09-28,Kwale,30
2015-09-29,Kwale,9
2015-09-30,Kwale,30
2015-10-01,Kwale,34
2015-10-02,Kwale,32
2015-10-03,Kwale,0
2015-10-04,Kwale,21
2015-10-05,Kwale,33
2015-10-06,Kwale,33
2015-10-07,Kwale,23
2015-10-08,Kwale,31
2015-10-09,Kwale,29
2015-10-10,Kwale,35
2015-10-11,Kwale,28
2015-10-12,Kwale,18
2015-10-13,Kwale,36
2015-10-14,Kwale,28
2015-10-15,Kwale,49
2015-10-16,Kwale,42
2015-10-17,Kwale,35
2015-10-18,Kwale,34
2015-10-19,Kwale,32
2015-10-20,Kwale,32
2015-10-21,Kwale,25
2015-10-22,Kwale,34
2015-10-23,Kwale,36
2015-10-24,Kwale,38
2015-10-25,Kwale,45
2015-10-26,Kwale,27
2015-10-27,Kwale,20
2015-10-28,Kwale,27
2015-10-29,Kwale,32
2015-10-30,Kwale,31
2015-10-31,Kwale,23
2015-11-01,Kwale,33
2015-11-02,Kwale,35
2015-11-03,Kwale,28
2015-11-04,Kwale,15
2015-11-05,Kwale,30
2015-11-06,Kwale,43
2015-11-07,Kwale,50
2015-11-08,Kwale,38
