date,county,rainfall_mm,avg_temp_c
2015-04-09,Mombasa,17.0,29.59
2015-04-10,Mombasa,19.08,30.33
2015-04-11,Mombasa,4.31,26.71
2015-04-12,Mombasa,12.69,29.37
2015-04-13,Mombasa,15.16,29.79
2015-04-14,Mombasa,17.02,29.46
2015-04-15,Mombasa,14.33,26.28
2015-04-16,Mombasa,25.16,26.95
2015-04-17,Mombasa,27.37,28.85
2015-04-18,Mombasa,18.82,29.4
2015-04-19,Mombasa,13.87,28.77
2015-04-20,Mombasa,14.15,27.32
2015-04-21,Mombasa,18.56,29.49
2015-04-22,Mombasa,4.62,30.57
2015-04-23,Mombasa,16.13,27.86
2015-04-24,Mombasa,16.38,31.23
2015-04-25,Mombasa,12.66,29.47
2015-04-26,Mombasa,13.6,24.27
2015-04-27,Mombasa,21.26,28.17
2015-04-28,Mombasa,24.81,29.69
2015-04-29,Mombasa,17.67,27.79
2015-04-30,Mombasa,10.58,29.17
2015-05-01,Mombasa,11.64,26.5
2015-05-02,Mombasa,9.91,24.46
2015-05-03,Mombasa,21.87,27.38
2015-05-04,Mombasa,20.26,29.09
2015-05-05,Mombasa,10.87,25.69
2015-05-06,Mombasa,17.63,26.56
2015-05-07,Mombasa,25.55,26.82
2015-05-08,Mombasa,12.9,23.2
2015-05-09,Mombasa,20.0,29.14
2015-05-10,Mombasa,17.78,26.71
2015-05-11,Mombasa,6.59,29.44
2015-05-12,Mombasa,16.73,26.9
2015-05-13,Mombasa,6.04,26.25
2015-05-14,Mombasa,14.47,27.97
2015-05-15,Mombasa,20.67,25.46
2015-05-16,Mombasa,22.01,25.36
2015-05-17,Mombasa,6.93,29.48
2015-05-18,Mombasa,5.34,29.23
2015-05-19,Mombasa,23.97,27.17
2015-05-20,Mombasa,11.66,25.38
2015-05-21,Mombasa,11.24,29.08
2015-05-22,Mombasa,15.18,25.87
2015-05-23,Mombasa,8.71,31.37
2015-05-24,Mombasa,18.08,25.52
2015-05-25,Mombasa,17.21,27.74
2015-05-26,Mombasa,19.61,26.66
2015-05-27,Mombasa,17.82,26.44
2015-05-28,Mombasa,6.98,27.46
2015-05-29,Mombasa,13.21,27.44
2015-05-30,Mombasa,11.2,29.39
2015-05-31,Mombasa,14.65,30.31
2015-06-01,Mombasa,2.93,25.62
2015-06-02,Mombasa,8.49,27.86
2015-06-03,Mombasa,5.64,25.91
2015-06-04,Mombasa,6.24,24.53
2015-06-05,Mombasa,2.91,29.48
2015-06-06,Mombasa,7.62,29.26
2015-06-07,Mombasa,5.52,28.87
2015-06-08,Mombasa,4.91,29.83
2015-06-09,Mombasa,3.3,28.42
2015-06-10,Mombasa,5.09,28.66
2015-06-11,Mombasa,3.75,24.79
2015-06-12,Mombasa,5.61,29.27
2015-06-13,Mombasa,3.6,27.75
2015-06-14,Mombasa,9.29,26.44
2015-06-15,Mombasa,4.59,30.63
2015-06-16,Mombasa,6.04,29.71
2015-06-17,Mombasa,8.01,25.56
2015-06-18,Mombasa,2.07,29.99
2015-06-19,Mombasa,4.23,27.79
2015-06-20,Mombasa,6.23,30.1
2015-06-21,Mombasa,6.05,30.8
2015-06-22,Mombasa,9.19,29.57
2015-06-23,Mombasa,6.68,27.93
2015-06-24,Mombasa,3.05,29.53
2015-06-25,Mombasa,3.88,28.94
2015-06-26,Mombasa,6.66,27.48
2015-06-27,Mombasa,9.25,28.51
2015-06-28,Mombasa,5.36,25.96
2015-06-29,Mombasa,7.04,28.38
2015-06-30,Mombasa,1.52,27.58
2015-07-01,Mombasa,6.32,27.07
2015-07-02,Mombasa,4.6,25.08
2015-07-03,Mombasa,2.73,27.52
2015-07-04,Mombasa,5.8,25.28
2015-07-05,Mombasa,3.93,30.56
2015-07-06,Mombasa,3.28,31.41
2015-07-07,Mombasa,4.07,24.56
2015-07-08,Mombasa,4.69,27.91
2015-07-09,Mombasa,6.39,28.85
2015-07-10,Mombasa,8.41,28.63
2015-07-11,Mombasa,5.88,31.69
2015-07-12,Mombasa,7.17,27.42
2015-07-13,Mombasa,9.3,29.65
2015-07-14,Mombasa,5.16,26.34
2015-07-15,Mombasa,5.18,31.21
2015-07-16,Mombasa,5.22,28.37
2015-07-17,Mombasa,3.73,26.43
2015-07-18,Mombasa,3.2,27.06
2015-07-19,Mombasa,8.95,28.65
2015-07-20,Mombasa,3.32,29.2
2015-07-21,Mombasa,6.11,26.29
2015-07-22,Mombasa,6.06,29.26
2015-07-23,Mombasa,5.18,29.67
2015-07-24,Mombasa,4.08,25.99
2015-07-25,Mombasa,7.53,27.4
2015-07-26,Mombasa,6.47,30.53
2015-07-27,Mombasa,3.13,25.79
2015-07-28,Mombasa,3.48,28.78
2015-07-29,Mombasa,6.98,29.94
2015-07-30,Mombasa,3.9,28.07
2015-07-31,Mombasa,5.79,27.83
2015-08-01,Mombasa,6.57,30.17
2015-08-02,Mombasa,2.86,26.47
2015-08-03,Mombasa,4.67,29.63
2015-08-04,Mombasa,1.92,30.72
2015-08-05,Mombasa,5.03,31.8
2015-08-06,Mombasa,5.11,25.97
2015-08-07,Mombasa,5.03,28.26
2015-08-08,Mombasa,2.78,26.98
2015-08-09,Mombasa,5.9,26.67
2015-08-10,Mombasa,5.71,26.41
2015-08-11,Mombasa,3.37,28.83
2015-08-12,Mombasa,4.09,29.39
2015-08-13,Mombasa,3.65,27.24
2015-08-14,Mombasa,10.68,28.74
2015-08-15,Mombasa,0.99,32.6
2015-08-16,Mombasa,4.49,28.16
2015-08-17,Mombasa,2.97,29.15
2015-08-18,Mombasa,3.32,30.88
2015-08-19,Mombasa,5.32,25.32
2015-08-20,Mombasa,3.7,27.47
2015-08-21,Mombasa,4.7,26.17
2015-08-22,Mombasa,5.31,26.64
2015-08-23,Mombasa,3.72,29.11
2015-08-24,Mombasa,4.63,26.26
2015-08-25,Mombasa,8.57,26.28
2015-08-26,Mombasa,5.4,27.65
2015-08-27,Mombasa,5.08,28.43
2015-08-28,Mombasa,6.12,28.16
2015-08-29,Mombasa,6.78,25.72
2015-08-30,Mombasa,6.88,27.62
2015-08-31,Mombasa,3.82,30.25
2015-09-01,Mombasa,4.6,26.2
2015-09-02,Mombasa,4.55,25.29
2015-09-03,Mombasa,3.28,25.38
2015-09-04,Mombasa,7.69,29.1
2015-09-05,Mombasa,5.6,27.65
2015-09-06,Mombasa,3.65,26.87
2015-09-07,Mombasa,5.8,27.41
2015-09-08,Mombasa,5.17,27.71
2015-09-09,Mombasa,2.46,28.21
2015-09-10,Mombasa,6.8,28.81
2015-09-11,Mombasa,7.77,26.12
2015-09-12,Mombasa,3.13,27.33
2015-09-13,Mombasa,2.89,28.52
2015-09-14,Mombasa,4.86,25.83
2015-09-15,Mombasa,3.54,29.13
2015-09-16,Mombasa,4.92,28.41
2015-09-17,Mombasa,4.26,27.39
2015-09-18,Mombasa,6.54,29.42
2015-09-19,Mombasa,2.49,30.49
2015-09-20,Mombasa,3.9,28.26
2015-09-21,Mombasa,3.48,25.41
2015-09-22,Mombasa,5.74,27.89
2015-09-23,Mombasa,6.55,32.9
2015-09-24,Mombasa,7.34,29.13
2015-09-25,Mombasa,5.45,26.31
2015-09-26,Mombasa,2.58,27.32
2015-09-27,Mombasa,6.71,29.5
2015-09-28,Mombasa,5.44,28.98
2015-09-29,Mombasa,6.34,23.7
2015-09-30,Mombasa,2.53,24.97
2015-10-01,Mombasa,9.45,31.8
2015-10-02,Mombasa,11.97,28.25
2015-10-03,Mombasa,8.63,26.73
2015-10-04,Mombasa,10.86,31.48
2015-10-05,Mombasa,12.9,30.81
2015-10-06,Mombasa,8.66,29.46
2015-10-07,Mombasa,6.61,30.33
2015-10-08,Mombasa,8.08,25.43
2015-10-09,Mombasa,8.27,26.04
2015-10-10,Mombasa,11.38,27.1
2015-10-11,Mombasa,5.98,26.22
2015-10-12,Mombasa,6.76,26.39
2015-10-13,Mombasa,9.11,26.93
2015-10-14,Mombasa,12.22,28.18
2015-10-15,Mombasa,9.37,24.21
2015-10-16,Mombasa,10.97,29.93
2015-10-17,Mombasa,13.27,30.43
2015-10-18,Mombasa,7.73,29.49
2015-10-19,Mombasa,16.1,30.31
2015-10-20,Mombasa,6.29,29.1
2015-10-21,Mombasa,11.34,27.79
2015-10-22,Mombasa,9.27,27.72
2015-10-23,Mombasa,6.79,29.81
2015-10-24,Mombasa,13.87,29.83
2015-10-25,Mombasa,14.39,26.47
2015-10-26,Mombasa,14.26,29.34
2015-10-27,Mombasa,5.59,28.17
2015-10-28,Mombasa,9.94,27.98
2015-10-29,Mombasa,5.14,26.75
2015-10-30,Mombasa,5.35,28.29
2015-10-31,Mombasa,13.73,30.45
2015-11-01,Mombasa,7.95,24.84
2015-11-02,Mombasa,12.17,30.82
2015-11-03,Mombasa,11.11,29.33
2015-11-04,Mombasa,11.19,22.61
2015-11-05,Mombasa,6.55,27.53
2015-11-06,Mombasa,12.01,28.01
2015-11-07,Mombasa,14.12,30.73
2015-11-08,Mombasa,1.02,26.08
2015-11-09,Mombasa,18.42,23.61
2015-11-10,Mombasa,12.42,28.16
2015-11-11,Mombasa,14.93,25.73
2015-11-12,Mombasa,5.85,28.14
2015-11-13,Mombasa,13.24,29.54
2015-11-14,Mombasa,12.74,28.9
2015-11-15,Mombasa,17.99,26.96
2015-11-16,Mombasa,11.13,25.7
2015-11-17,Mombasa,3.69,27.38
2015-11-18,Mombasa,7.45,30.6
2015-11-19,Mombasa,13.83,27.14
2015-11-20,Mombasa,5.85,28.52
2015-11-21,Mombasa,12.84,32.27
2015-11-22,Mombasa,18.54,25.99
2015-11-23,Mombasa,5.78,29.84
2015-11-24,Mombasa,11.66,24.29
2015-11-25,Mombasa,9.0,31.5
2015-11-26,Mombasa,8.59,26.6
2015-11-27,Mombasa,12.94,27.65
2015-11-28,Mombasa,11.84,32.07
2015-11-29,Mombasa,4.43,24.69
2015-11-30,Mombasa,12.47,28.82
2015-12-01,Mombasa,6.17,27.67
2015-12-02,Mombasa,4.22,27.2
2015-12-03,Mombasa,7.62,27.56
2015-12-04,Mombasa,4.17,28.95
2015-12-05,Mombasa,4.27,26.05
2015-12-06,Mombasa,4.31,29.87
2015-12-07,Mombasa,5.05,29.51
2015-12-08,Mombasa,3.92,26.91
2015-12-09,Mombasa,3.02,24.01
2015-12-10,Mombasa,8.81,25.83
2015-12-11,Mombasa,4.43,28.62
2015-12-12,Mombasa,10.2,26.95
2015-12-13,Mombasa,6.77,31.26
2015-12-14,Mombasa,4.81,26.04
2015-12-15,Mombasa,6.33,25.07
2015-12-16,Mombasa,2.65,28.99
2015-12-17,Mombasa,8.66,28.97
2015-12-18,Mombasa,3.46,26.96
2015-12-19,Mombasa,5.11,29.13
2015-12-20,Mombasa,3.58,24.99
2015-12-21,Mombasa,3.74,29.29
2015-12-22,Mombasa,4.4,26.52
2015-12-23,Mombasa,1.46,28.17
2015-12-24,Mombasa,4.66,26.05
2015-12-25,Mombasa,5.67,27.29
2015-12-26,Mombasa,5.41,26.99
2015-12-27,Mombasa,7.17,29.43
2015-12-28,Mombasa,4.77,28.03
2015-12-29,Mombasa,4.46,24.94
2015-12-30,Mombasa,4.98,27.16
2015-12-31,Mombasa,10.49,26.85
2016-01-01,Mombasa,2.12,31.16
2016-01-02,Mombasa,0.68,26.66
2016-01-03,Mombasa,7.33,29.95
2016-01-04,Mombasa,3.51,26.06
2016-01-05,Mombasa,0.0,27.18
2016-01-06,Mombasa,6.27,29.32
2016-01-07,Mombasa,6.22,27.92
2016-01-08,Mombasa,6.96,30.91
2016-01-09,Mombasa,3.75,27.46
2016-01-10,Mombasa,1.96,28.6
2016-01-11,Mombasa,1.05,25.71
2016-01-12,Mombasa,10.27,25.32
2016-01-13,Mombasa,7.48,27.53
2016-01-14,Mombasa,3.24,28.0
2016-01-15,Mombasa,5.24,25.3
2016-01-16,Mombasa,8.12,32.1
2016-01-17,Mombasa,5.07,25.51
2016-01-18,Mombasa,0.0,28.71
2016-01-19,Mombasa,3.25,31.65
2016-01-20,Mombasa,6.92,30.44
2016-01-21,Mombasa,4.96,28.88
2016-01-22,Mombasa,3.65,28.1
2016-01-23,Mombasa,4.28,26.21
2016-01-24,Mombasa,7.66,30.21
2016-01-25,Mombasa,4.09,28.61
2016-01-26,Mombasa,6.47,29.08
2016-01-27,Mombasa,3.06,30.1
2016-01-28,Mombasa,6.18,27.25
2016-01-29,Mombasa,6.68,27.88
2016-01-30,Mombasa,7.93,28.48
2016-01-31,Mombasa,2.63,26.53
2016-02-01,Mombasa,3.54,28.68
2016-02-02,Mombasa,7.89,26.35
2016-02-03,Mombasa,6.25,30.93
2016-02-04,Mombasa,4.18,25.65
2016-02-05,Mombasa,3.95,25.36
2016-02-06,Mombasa,7.26,29.59
2016-02-07,Mombasa,8.27,26.64
2016-02-08,Mombasa,3.75,26.16
2016-02-09,Mombasa,7.44,25.71
2016-02-10,Mombasa,7.45,28.54
2016-02-11,Mombasa,4.45,31.27
2016-02-12,Mombasa,5.25,22.91
2016-02-13,Mombasa,6.37,28.25
2016-02-14,Mombasa,4.8,28.57
2016-02-15,Mombasa,5.3,30.26
2016-02-16,Mombasa,7.3,27.49
2016-02-17,Mombasa,4.09,29.46
2016-02-18,Mombasa,4.76,28.34
2016-02-19,Mombasa,3.47,25.25
2016-02-20,Mombasa,5.39,26.7
2016-02-21,Mombasa,5.36,28.67
2016-02-22,Mombasa,1.91,28.36
2016-02-23,Mombasa,4.44,26.9
2016-02-24,Mombasa,2.49,25.91
2016-02-25,Mombasa,2.21,25.63
2016-02-26,Mombasa,7.7,27.57
2016-02-27,Mombasa,4.04,30.54
2016-02-28,Mombasa,4.22,25.82
2016-02-29,Mombasa,2.74,27.82
2016-03-01,Mombasa,18.44,26.68
2016-03-02,Mombasa,12.89,28.26
2016-03-03,Mombasa,19.78,25.34
2016-03-04,Mombasa,16.09,31.04
2016-03-05,Mombasa,5.19,26.1
2016-03-06,Mombasa,13.37,29.27
2016-03-07,Mombasa,18.16,25.16
2016-03-08,Mombasa,13.99,24.02
2016-03-09,Mombasa,14.68,29.38
2016-03-10,Mombasa,16.52,28.57
2016-03-11,Mombasa,23.19,26.83
2016-03-12,Mombasa,8.03,29.07
2016-03-13,Mombasa,14.28,26.51
2016-03-14,Mombasa,19.46,29.25
2016-03-15,Mombasa,12.03,28.32
2016-03-16,Mombasa,8.79,28.59
2016-03-17,Mombasa,20.8,26.07
2016-03-18,Mombasa,13.51,27.48
2016-03-19,Mombasa,22.24,25.99
2016-03-20,Mombasa,21.04,27.19
2016-03-21,Mombasa,5.75,29.74
2016-03-22,Mombasa,12.78,29.67
2016-03-23,Mombasa,21.52,28.17
2016-03-24,Mombasa,16.06,26.28
2016-03-25,Mombasa,11.55,27.87
2016-03-26,Mombasa,14.26,29.96
2016-03-27,Mombasa,13.18,29.59
2016-03-28,Mombasa,11.84,29.4
2016-03-29,Mombasa,16.29,28.38
2016-03-30,Mombasa,2.57,28.73
2016-03-31,Mombasa,9.11,28.25
2016-04-01,Mombasa,11.8,29.73
2016-04-02,Mombasa,13.12,26.52
2016-04-03,Mombasa,16.78,28.55
2016-04-04,Mombasa,14.56,26.41
2016-04-05,Mombasa,9.73,25.97
2016-04-06,Mombasa,9.94,29.27
2016-04-07,Mombasa,6.01,31.09
2016-04-08,Mombasa,10.86,31.45
2016-04-09,Mombasa,16.34,25.39
2016-04-10,Mombasa,23.23,30.18
2016-04-11,Mombasa,18.92,29.92
2016-04-12,Mombasa,19.85,25.62
2016-04-13,Mombasa,11.32,25.43
2016-04-14,Mombasa,12.92,28.11
2016-04-15,Mombasa,15.44,25.1
2016-04-16,Mombasa,6.6,26.77
2016-04-17,Mombasa,8.4,27.69
2016-04-18,Mombasa,16.63,25.67
2016-04-19,Mombasa,22.3,28.57
2016-04-20,Mombasa,8.56,29.61
2016-04-21,Mombasa,11.47,28.45
2016-04-22,Mombasa,17.55,32.24
2016-04-23,Mombasa,20.5,25.87
2016-04-24,Mombasa,11.33,30.37
2016-04-25,Mombasa,24.39,28.05
2016-04-26,Mombasa,16.87,29.36
2016-04-27,Mombasa,13.84,29.21
2016-04-28,Mombasa,16.55,30.61
2016-04-29,Mombasa,19.4,30.65
2016-04-30,Mombasa,18.77,31.24
2016-05-01,Mombasa,15.34,29.31
2016-05-02,Mombasa,9.85,30.41
2016-05-03,Mombasa,16.18,26.48
2016-05-04,Mombasa,14.37,27.65
2016-05-05,Mombasa,10.83,27.53
2016-05-06,Mombasa,16.7,28.0
2016-05-07,Mombasa,20.5,28.37
2016-05-08,Mombasa,16.65,30.98
2016-05-09,Mombasa,15.35,23.37
2016-05-10,Mombasa,7.23,27.72
2016-05-11,Mombasa,17.32,25.68
2016-05-12,Mombasa,14.52,25.36
2016-05-13,Mombasa,19.42,27.38
2016-05-14,Mombasa,25.92,30.46
2016-05-15,Mombasa,15.77,25.33
2016-05-16,Mombasa,20.18,23.86
2016-05-17,Mombasa,12.59,27.28
2016-05-18,Mombasa,12.14,28.47
2016-05-19,Mombasa,0.0,31.78
2016-05-20,Mombasa,7.27,30.64
2016-05-21,Mombasa,14.12,26.12
2016-05-22,Mombasa,17.35,27.49
2016-05-23,Mombasa,21.3,27.04
2016-05-24,Mombasa,27.85,26.54
2016-05-25,Mombasa,12.33,30.84
2016-05-26,Mombasa,19.59,29.19
2016-05-27,Mombasa,10.54,32.08
2016-05-28,Mombasa,20.8,30.09
2016-05-29,Mombasa,19.93,28.98
2016-05-30,Mombasa,21.91,27.82
2016-05-31,Mombasa,22.54,29.18
2016-06-01,Mombasa,9.22,25.54
2016-06-02,Mombasa,3.07,25.92
2016-06-03,Mombasa,6.84,31.37
2016-06-04,Mombasa,5.87,30.84
2016-06-05,Mombasa,2.77,30.63
2016-06-06,Mombasa,8.47,27.46
2016-06-07,Mombasa,5.58,30.2
2016-06-08,Mombasa,3.7,29.35
2016-06-09,Mombasa,4.49,26.58
2016-06-10,Mombasa,7.54,29.34
2016-06-11,Mombasa,4.82,26.49
2016-06-12,Mombasa,4.56,33.11
2016-06-13,Mombasa,4.56,25.22
2016-06-14,Mombasa,2.38,27.35
2016-06-15,Mombasa,4.55,26.09
2016-06-16,Mombasa,2.61,31.02
2016-06-17,Mombasa,6.24,30.99
2016-06-18,Mombasa,4.92,28.85
2016-06-19,Mombasa,4.96,30.43
2016-06-20,Mombasa,2.67,26.58
2016-06-21,Mombasa,5.19,26.77
2016-06-22,Mombasa,5.54,24.28
2016-06-23,Mombasa,0.77,24.97
2016-06-24,Mombasa,6.56,25.38
2016-06-25,Mombasa,7.63,29.31
2016-06-26,Mombasa,5.88,26.42
2016-06-27,Mombasa,4.1,27.85
2016-06-28,Mombasa,2.47,31.18
2016-06-29,Mombasa,1.83,25.2
2016-06-30,Mombasa,7.0,31.41
2016-07-01,Mombasa,5.25,29.49
2016-07-02,Mombasa,2.29,28.27
2016-07-03,Mombasa,2.74,29.33
2016-07-04,Mombasa,6.11,28.95
2016-07-05,Mombasa,4.01,27.27
2016-07-06,Mombasa,5.25,26.35
2016-07-07,Mombasa,3.43,27.6
2016-07-08,Mombasa,4.95,28.13
2016-07-09,Mombasa,5.45,26.49
2016-07-10,Mombasa,4.66,23.12
2016-07-11,Mombasa,6.31,26.52
2016-07-12,Mombasa,4.91,30.36
2016-07-13,Mombasa,5.31,33.34
2016-07-14,Mombasa,9.45,31.53
2016-07-15,Mombasa,2.76,25.94
2016-07-16,Mombasa,5.77,26.24
2016-07-17,Mombasa,3.2,27.94
2016-07-18,Mombasa,3.26,30.03
2016-07-19,Mombasa,2.55,28.99
2016-07-20,Mombasa,4.17,24.99
2016-07-21,Mombasa,9.09,28.45
2016-07-22,Mombasa,4.19,26.83
2016-07-23,Mombasa,4.85,30.19
2016-07-24,Mombasa,5.6,24.27
2016-07-25,Mombasa,1.83,29.49
2016-07-26,Mombasa,6.37,25.78
2016-07-27,Mombasa,2.97,27.71
2016-07-28,Mombasa,5.74,29.11
2016-07-29,Mombasa,6.61,26.17
2016-07-30,Mombasa,3.9,30.33
2016-07-31,Mombasa,1.54,30.11
2016-08-01,Mombasa,4.42,27.32
2016-08-02,Mombasa,3.9,30.02
2016-08-03,Mombasa,2.92,27.94
2016-08-04,Mombasa,3.93,31.0
2016-08-05,Mombasa,5.39,30.87
2016-08-06,Mombasa,7.09,27.81
2016-08-07,Mombasa,4.8,30.23
2016-08-08,Mombasa,3.44,28.69
2016-08-09,Mombasa,4.45,27.03
2016-08-10,Mombasa,3.21,28.3
2016-08-11,Mombasa,1.55,27.7
2016-08-12,Mombasa,4.2,27.02
2016-08-13,Mombasa,5.86,29.84
2016-08-14,Mombasa,8.81,32.44
2016-08-15,Mombasa,6.22,26.59
2016-08-16,Mombasa,5.84,26.46
2016-08-17,Mombasa,4.85,27.05
2016-08-18,Mombasa,6.4,28.62
2016-08-19,Mombasa,4.24,28.93
2016-08-20,Mombasa,5.69,29.75
2016-08-21,Mombasa,8.2,31.84
2016-08-22,Mombasa,3.89,26.42
2016-08-23,Mombasa,3.34,23.73
2016-08-24,Mombasa,4.47,27.57
2016-08-25,Mombasa,7.1,29.79
2016-08-26,Mombasa,0.77,28.61
2016-08-27,Mombasa,3.92,30.82
2016-08-28,Mombasa,4.08,29.77
2016-08-29,Mombasa,7.17,25.77
2016-08-30,Mombasa,4.76,29.89
2016-08-31,Mombasa,3.27,29.13
2016-09-01,Mombasa,2.86,28.86
2016-09-02,Mombasa,4.81,28.83
2016-09-03,Mombasa,4.59,27.32
2016-09-04,Mombasa,5.59,30.75
2016-09-05,Mombasa,3.32,28.6
2016-09-06,Mombasa,7.09,24.81
2016-09-07,Mombasa,2.92,27.68
2016-09-08,Mombasa,6.76,30.89
2016-09-09,Mombasa,6.23,27.32
2016-09-10,Mombasa,3.85,28.77
2016-09-11,Mombasa,5.14,28.15
2016-09-12,Mombasa,5.88,30.05
2016-09-13,Mombasa,3.56,32.29
2016-09-14,Mombasa,5.31,27.11
2016-09-15,Mombasa,7.21,24.54
2016-09-16,Mombasa,5.88,29.11
2016-09-17,Mombasa,4.89,27.82
2016-09-18,Mombasa,2.92,25.96
2016-09-19,Mombasa,3.8,28.8
2016-09-20,Mombasa,4.06,26.25
2016-09-21,Mombasa,1.17,29.72
2016-09-22,Mombasa,5.66,27.97
2016-09-23,Mombasa,7.53,29.1
2016-09-24,Mombasa,6.5,27.16
2016-09-25,Mombasa,1.46,29.61
2016-09-26,Mombasa,4.98,26.21
2016-09-27,Mombasa,6.97,27.82
2016-09-28,Mombasa,5.1,30.91
2016-09-29,Mombasa,2.46,26.72
2016-09-30,Mombasa,5.08,31.4
2016-10-01,Mombasa,9.08,26.42
2015-01-01,Kwale,6.74,29.14
2015-01-02,Kwale,1.79,27.04
2015-01-03,Kwale,5.76,27.11
2015-01-04,Kwale,3.05,29.25
2015-01-05,Kwale,3.92,27.66
2015-01-06,Kwale,3.05,27.81
2015-01-07,Kwale,7.7,30.51
2015-01-08,Kwale,5.96,28.05
2015-01-09,Kwale,4.09,29.66
2015-01-10,Kwale,7.15,31.58
2015-01-11,Kwale,4.95,28.71
2015-01-12,Kwale,5.71,28.85
2015-01-13,Kwale,5.99,27.74
2015-01-14,Kwale,4.44,27.43
2015-01-15,Kwale,4.66,29.05
2015-01-16,Kwale,5.31,26.94
2015-01-17,Kwale,7.05,27.83
2015-01-18,Kwale,3.84,27.34
2015-01-19,Kwale,4.82,28.15
2015-01-20,Kwale,6.51,29.92
2015-01-21,Kwale,5.85,28.88
2015-01-22,Kwale,6.9,26.09
2015-01-23,Kwale,5.12,28.23
2015-01-24,Kwale,6.06,27.48
2015-01-25,Kwale,5.3,28.6
2015-01-26,Kwale,4.08,26.39
